Name,RA(J2000),DEC(J2000),Radius,magnitude
Gaia DR2 4120809606303456896,17 27 08.690,-21 39 04.577,0.5,13.10
Th 3-17,17 27 31.630,-29 02 56.555,0.5,16.40
Gaia DR3 4058686267291546880,17 27 45.187,-29 52 11.801,0.5,-
Al 2-B,17 27 47.124,-28 11 03.469,0.5,-
[MMU2013] 358.46+03.54,17 28 13.105,-28 19 37.551,0.5,-
Gaia DR3 4059660301581522304,17 28 23.867,-28 32 00.358,0.5,-
Th 3-18,17 28 26.924,-28 38 34.717,0.5,15.30
Gaia DR3 4058713033518752128,17 28 42.038,-29 43 54.354,0.5,-
Gaia DR3 4061423918164429056,17 28 43.846,-27 35 44.465,0.5,-
Gaia DR3 4061402718202905728,17 28 59.580,-27 55 29.511,0.5,-
Hen 3-1410,17 29 06.196,-29 43 17.655,0.5,14.00
Gaia DR3 4059600275106699136,17 29 10.834,-28 51 35.364,0.5,-
Gaia DR3 4059614461259519232,17 30 00.871,-28 44 55.107,0.5,-
Gaia DR3 4110497660369245312,17 30 02.842,-24 14 50.727,0.5,-
Gaia DR3 4058806560732418048,17 30 13.641,-29 24 54.273,0.5,-
Gaia DR3 4061464668817045120,17 30 39.106,-27 12 40.220,0.5,-
Gaia DR3 4117500793519648640,17 30 47.049,-22 40 32.688,0.5,-
Gaia DR3 4059617111381675264,17 31 04.543,-28 46 29.303,0.5,-
Gaia DR3 4058752895215440640,17 31 05.118,-29 37 50.064,0.5,-
Gaia DR3 4061145673055118208,17 31 11.993,-28 13 05.809,0.5,-
Gaia DR3 4110209416519472128,17 31 34.308,-25 04 49.477,0.5,-
Gaia DR3 4058635552307270144,17 31 35.330,-29 58 46.050,0.5,-
V2116 Oph,17 32 02.149,-24 44 44.161,0.5,18.40
PM 1-155,17 32 12.782,-24 05 00.016,0.5,15.81
Al 2-G,17 32 22.571,-28 14 28.936,0.5,-
IRAS 17292-2805,17 32 25.913,-28 07 29.864,0.5,-
Th 3-29,17 32 27.870,-29 05 09.125,0.5,15.02
Gaia DR3 4061235420683561216,17 32 35.851,-27 45 12.846,0.5,-
IGR J17329-2731,17 32 50.667,-27 30 01.577,0.5,-
Gaia DR3 4061582209112290560,17 33 37.793,-26 45 53.828,0.5,-
Th 3-30,17 33 43.387,-28 07 21.189,0.5,16.10
Terz V 2513,17 33 47.261,-27 19 26.425,0.5,-
Th 3-31,17 34 16.801,-29 29 12.197,0.5,16.10
M 1-21,17 34 17.214,-19 09 22.867,0.5,14.12
[MMU2013] 357.98+01.57,17 34 35.472,-29 48 22.259,0.5,-
Gaia DR3 4116712241925671040,17 34 41.338,-22 41 19.365,0.5,-
2SXPS J173508.4-292958,17 35 08.308,-29 29 58.113,0.5,11.77
Hen 2-251,17 35 22.232,-29 45 19.894,0.5,15.70
Gaia DR3 4061778957354757376,17 35 22.655,-26 32 49.114,0.5,-
Gaia DR3 4061329635057640960,17 35 42.848,-27 03 55.139,0.5,18.52
NSV 22840,17 35 58.474,-28 49 54.228,0.5,17.70
OGLE BLG654.20 36111,17 36 20.191,-29 33 38.976,0.5,-
Gaia DR3 4060328289212104064,17 36 35.461,-28 34 22.777,0.5,-
V503 Her,17 36 40.454,+23 18 11.604,0.5,12.30
V3005 Oph,17 36 59.412,-18 06 26.658,0.5,13.00
Gaia DR3 4061306472210654080,17 37 04.002,-27 21 14.094,0.5,-
Gaia DR3 4060132438700224512,17 37 17.598,-28 46 58.636,0.5,-
Gaia DR3 4116852047304147840,17 37 24.446,-22 07 16.120,0.5,-
Gaia DR3 4123059477634049024,17 37 56.338,-19 10 20.401,0.5,-
Pt 1,17 38 49.546,-23 54 04.148,0.5,15.46
Gaia DR3 4060918314646911360,17 38 54.914,-27 19 13.213,0.5,-
WSTB 19W032,17 39 02.906,-28 56 35.625,0.5,17.20
WRAY 16-294,17 39 13.804,-25 38 05.167,0.5,14.50
K 6-6,17 39 18.266,-28 15 08.483,0.5,-
Gaia DR3 4116354900666611840,17 39 26.481,-23 46 08.539,0.5,14.25
RT Ser,17 39 51.985,-11 56 38.937,0.5,14.65
Gaia DR3 4116543432573520256,17 40 16.189,-23 06 04.893,0.5,-
Gaia DR3 4123214719332211200,17 40 16.291,-18 23 18.273,0.5,15.47
Gaia DR3 4116542951537056512,17 40 20.555,-23 08 50.959,0.5,-
PTB 28,17 40 21.374,-18 05 11.125,0.5,-
Gaia DR3 4117193003308616320,17 40 34.352,-22 01 10.474,0.5,-
[MMU2013] 359.76+01.15,17 40 34.628,-28 31 41.216,0.5,-
Gaia DR3 4123903872581171712,17 40 54.635,-17 15 16.535,0.5,14.32
VPHASDR2J174055.7-274748.4,17 40 55.659,-27 47 48.543,0.5,-
[MMU2013] 001.97+02.41,17 41 02.158,-25 59 34.166,0.5,-
Gaia DR3 4116941691858759808,17 41 19.469,-22 44 51.468,0.5,17.14
Gaia DR3 4116936920257217664,17 41 54.017,-22 42 34.562,0.5,-
OGLE BLG-LPV-19199,17 42 20.345,-24 01 16.431,0.5,17.16
Sab 15,17 42 25.648,-20 26 39.212,0.5,-
UU Ser,17 42 38.287,-15 24 26.211,0.5,14.74
Gaia DR3 4116854315040186368,17 43 00.079,-23 14 33.344,0.5,-
V2110 Oph,17 43 33.316,-22 45 36.971,0.5,-
Gaia DR3 4149060526811621760,17 43 36.287,-14 48 26.737,0.5,15.94
VPHASDR2J174356.1-250625.6,17 43 56.109,-25 06 25.721,0.5,-
IRAS 17411-2128,17 44 10.606,-21 29 22.048,0.5,-
HD 161224,17 44 26.342,-02 04 48.122,0.5,9.36
K 5-33,17 44 29.946,-27 20 40.405,0.5,19.00
IGR J17445-2747,17 44 30.415,-27 46 00.540,0.5,-
Gaia DR3 4068342251423933696,17 44 36.788,-24 00 12.970,0.5,-
[MMU2013] 001.33+01.07,17 44 37.864,-27 14 17.916,0.5,-
Sa 2-237,17 44 42.141,-15 45 12.551,0.5,14.52
2XMM J174445.4-295046,17 44 45.415,-29 50 44.640,0.5,-
NSV 9601,17 45 07.982,-02 08 28.132,0.5,-
VPHASDR2J174512.6-253207.2,17 45 12.561,-25 32 07.247,0.5,-
[MMU2013] 001.71+01.14,17 45 13.665,-26 52 43.005,0.5,-
Gaia DR3 4068850736898308352,17 45 15.798,-22 56 54.711,0.5,-
SSTGC 494464,17 45 28.775,-29 09 42.700,0.5,-
Gaia DR3 4068802672000265728,17 45 36.827,-23 19 49.237,0.5,-
Gaia DR3 4119715798448551168,17 45 38.269,-20 04 11.608,0.5,-
Bl 3-2,17 45 55.181,-26 58 10.847,0.5,14.41
ASAS J174600-2321.3,17 46 00.176,-23 21 16.413,0.5,13.04
1RXS J174607.8-213333,17 46 03.153,-21 33 28.403,0.5,15.42
Th 4-1,17 46 20.816,-20 13 48.328,0.5,-
IGR J17463-2854,17 46 21.813,-28 52 56.033,0.5,-
Gaia DR3 4119869038485393920,17 46 24.116,-19 24 34.818,0.5,18.46
2MASS J17463311-2419558,17 46 33.113,-24 19 55.786,0.5,-
[JBN2011] 368,17 46 44.335,-26 01 00.180,0.5,-
XMMU J174654.1-291542,17 46 54.374,-29 15 41.080,0.5,-
Gaia DR3 4068837340987060096,17 47 01.238,-23 03 55.372,0.5,-
Gaia DR3 4068837783272852480,17 47 02.203,-23 01 19.017,0.5,17.74
Gaia DR3 4149836988152842112,17 48 05.694,-13 10 48.931,0.5,-
Gaia DR3 4070514577252124928,17 49 55.973,-21 45 15.014,0.5,-
JaSt 2-6,17 50 01.840,-29 33 25.670,0.5,20.81
PHR J1750-2406,17 50 09.011,-24 06 16.077,0.5,-
RS Oph,17 50 13.161,-06 42 28.576,0.5,11.07
V4141 Sgr,17 50 23.820,-19 53 43.304,0.5,-
[ALS88] 2,17 50 51.118,-17 47 57.311,0.5,14.54
AS 245,17 51 00.911,-22 19 35.167,0.5,16.50
