Name,RA(J2000),DEC(J2000),Radius,magnitude
Sgr,18 23 14.95,-21 59 38.2,0.5,-
V4169 Sgr,18 23 26.94,-28 21 59.7,0.5,7.8p-<12.6V
Sgr,18 23 35.49,-21 29 00.0,0.5,-
V4171 Sgr,18 23 41.34,-22 59 28.7,0.5,8.0p-20.5j
V4361 Sgr,18 23 42.46,-18 07 14.7,0.5,10.6p-16.9V
IR Lyr,18 23 53.54,+39 18 58.9,0.5,-
Sgr,18 24 44.48,-24 50 24.9,0.5,-
V1151 Sgr,18 25 23.75,-20 11 59.3,0.5,11.1p-20j
V4019 Sgr,18 25 27.32,-25 40 07.5,0.5,-
V3941 Sgr,18 25 58.26,-29 25 48.9,0.5,11.5p-<14p
BS Sgr,18 26 46.72,-27 08 20.0,0.5,9.2p-17j
V1988 Sgr,18 27 57.37,-27 37 23.1,0.5,-
HS Sgr,18 28 03.44,-21 34 24.7,0.5,11.5p-16.5p
V391 Sct,18 28 06.61,-15 54 44.1,0.5,13.5I-17.0I
Sct,18 28 11.,-13 44 33.,0.5,14.4I-16.0I
LQ Sgr,18 28 28.98,-27 55 19.6,0.5,-
V394 Lyr,18 28 47.23,+35 49 29.3,0.5,16.0p-<17.0p
V366 Sct,18 29 42.8,-12 18 55.,0.5,15.4v-<23j
Sct,18 30 22.34,-14 53 51.9,0.5,-
V4362 Sgr,18 30 23.11,-17 11 56.9,0.5,8.0v-<15.0v
Sgr,18 30 24.36,-26 37 55.8,0.5,16.6V-19.5V
V3890 Sgr,18 30 43.29,-24 01 08.9,0.5,8.4p-17.2p
FH Ser,18 30 47.05,+02 36 53.1,0.5,4.5v-17.6B
Sct,18 31 29.12,-14 31 11.3,0.5,-
Sct,18 31 52.17,-14 33 44.6,0.5,-
V476 Sct,18 32 04.75,-06 43 34.3,0.5,9.9c-
Sct,18 32 20.,-08 40 30.,0.5,-
Sct,18 32 52.65,-13 18 04.2,0.5,17.8V-20.6V
Sct,18 32 53.26,-13 30 34.4,0.5,-
V3876 Sgr,18 33 12.67,-20 05 49.9,0.5,-
Sgr,18 33 17.45,-27 16 09.2,0.5,19.5V-
Sgr,18 33 17.91,-27 13 08.5,0.5,-
V1905 Sgr,18 33 42.1,-25 20 42.,0.5,9.1p-19j
AG Ser,18 33 51.86,+03 42 48.0,0.5,-
V463 Sct,18 34 03.13,-14 45 12.4,0.5,9.9p-<20V
V939 Sgr,18 34 23.05,-26 54 31.5,0.5,-
V941 Sgr,18 34 43.51,-29 34 48.8,0.5,-
CH Her,18 34 46.35,+24 48 02.7,0.5,13.5p-17p
FV Sct,18 34 51.55,-12 55 26.8,0.5,12.5p-20p
Sgr,18 35 30.2,-23 54 33.0,0.5,21.6U-
Sgr,18 35 44.5,-24 00 10.7,0.5,20.5U-
V3645 Sgr,18 35 49.21,-18 41 45.1,0.5,12.6p-18p
Sgr,18 35 55.58,-29 04 44.2,0.5,24.4V-
Her,18 35 56.27,+22 26 40.0,0.5,16.1p-19.5p
Sgr,18 36 02.72,-23 55 24.6,0.5,17.7V-19.0V
Sgr,18 36 18.5,-24 00 54.9,0.5,20.7U-
Sgr,18 36 19.0,-23 52 18.0,0.5,19.9U-
Sgr,18 36 24.66,-23 54 35.5,0.5,18.8V-
Sgr,18 36 25.4,-23 55 20.8,0.5,18.9U-
Sgr,18 36 28.9,-23 56 25.9,0.5,20.3U-
Sgr,18 36 45.4,-23 51 58.4,0.5,21.2U-
V2012 Sgr,18 37 12.43,-26 10 21.8,0.5,-
V4021 Sgr,18 38 14.,-23 22 47.,0.5,8.8v-18j
V651 Oph,18 38 40.12,+09 22 23.4,0.5,15.8p-<17.p
V477 Sct,18 38 42.93,-12 16 15.6,0.5,10.4V-
Her,18 39 26.16,+26 04 10.0,0.5,11.8V-17.1V
V949 Sgr,18 41 03.22,-28 09 35.7,0.5,-
V2383 Sgr,18 42 49.87,-19 01 36.9,0.5,-
V1709 Sgr,18 42 50.25,-19 47 47.8,0.5,-
V427 Sct,18 42 59.85,-04 28 19.4,0.5,-
V492 Lyr,18 43 22.58,+40 39 55.2,0.5,-
V827 Her,18 43 42.60,+15 19 19.0,0.5,7.5v-18.1V
V2032 Sgr,18 43 47.17,-27 34 01.1,0.5,-
Aql,18 44 36.,-02 59,0.5,10.4p-13p
Aql2,18 45 12.51,-02 58 35.0,0.5,13v-<14v
V2038 Sgr,18 45 20.46,-26 27 47.4,0.5,-
V368 Sct,18 45 43.55,-08 33 01.2,0.5,6.9v-19.0p
GL Sct,18 45 48.39,-06 25 14.9,0.5,13.6p-<16.8p
Sct,18 46 51.1,-04 56 38.,0.5,8 -22
Dra,18 46 58.83,+55 38 29.1,0.5,17.2R-20.0R
V444 Sct,18 47 09.91,-08 20 53.6,0.5,10.5v-20r
V522 Sgr,18 48 00.49,-25 22 27.0,0.5,12.9p-19.7V
V475 Sct,18 49 37.62,-09 33 50.3,0.5,8.9V-
V443 Sct,18 49 38.95,-06 11 15.9,0.5,8.5p-<20p
V4332 Sgr,18 50 36.70,-21 23 29.6,0.5,-
Sct,18 53 03.6,-08 37 24.,0.5,18.3V-
Sct,18 53 03.89,-08 42 27.2,0.5,19.5V-
Lyr,18 53 10.,+35 47,0.5,13p-<16p
HR Lyr,18 53 25.05,+29 13 37.8,0.5,6.5p-15.8p
Dra,18 54 06.41,+48 55 18.5,0.5,19.4c-
V4368 Sgr,18 54 40.32,-19 41 59.8,0.5,-
EL Aql,18 56 02.03,-03 19 20.6,0.5,6.4p-20p
EU Sct,18 56 13.17,-04 12 33.4,0.5,8.4p-18p
V800 Aql,18 56 32.40,+10 48 42.4,0.5,-
Sct,18 56 34.97,-08 35 30.3,0.5,-
FS Sct,18 58 16.93,-05 24 05.2,0.5,10.1p-19.3B
V493 Lyr,19 01 31.49,+42 54 52.5,0.5,13.2p-<17.2p
Aql,19 01 59.5,+13 52 30.,0.5,10.6p-17.p
V604 Aql,19 02 06.39,-04 26 43.7,0.5,8.2p-21p
Aql,19 02 14.84,+13 03 03.2,0.5,10.6p-
Aql,19 02 56.7,+15 09 41.,0.5,10.5p-13.p
CM Aql,19 03 35.09,-03 03 15.0,0.5,-
QV Vul,19 04 40.29,+21 46 14.1,0.5,7.0v-17.7R
V1440 Aql,19 05 00.13,-07 08 30.8,0.5,8.6V-
V1663 Aql,19 05 12.50,+05 14 12.0,0.5,10.5V-
Aql,19 05 36.7,+14 11 48.,0.5,10.8p-13.p
V1548 Aql,19 07 28.42,+11 44 45.8,0.5,10.8V-<18.V
V841 Aql,19 07 39.79,+10 29 43.7,0.5,11.5p-<17.5p
V415 Lyr,19 08 03.89,+31 23 55.5,0.5,14.8p-<17.0p
V1089 Sgr,19 08 46.38,-17 21 46.7,0.5,13.8p-17p
V452 Lyr,19 10 26.33,+43 28 55.0,0.5,17.6p-<18.5p
V363 Sgr,19 11 16.3,-29 50 00.,0.5,8.8p-20j
V369 Lyr,19 11 55.,+32 12 07.,0.5,15.2p-<20p
V1419 Aql,19 13 06.80,+01 34 23.3,0.5,7.6p-<22r
V352 Aql,19 13 33.75,+02 18 13.2,0.5,-
Aql3,19 15 54.72,-00 14 43.2,0.5,-
V1378 Aql,19 16 35.35,+03 43 19.3,0.5,10p-21p
V356 Aql,19 17 13.71,+01 43 21.7,0.5,7.7p-18.3V
V1301 Aql,19 17 55.20,+04 47 18.3,0.5,10.3v-21p
V605 Aql,19 18 20.44,+01 46 59.5,0.5,-
V1336 Aql,19 18 41.88,-05 14 11.4,0.5,-
V528 Aql,19 19 19.12,+00 37 52.3,0.5,7.0p-19.2B
V606 Aql,19 20 24.3,-00 08 07.,0.5,6.7p-17.3p
V730 Sgr,19 23 00.98,-28 29 37.5,0.5,12.8p-<17.5p
V1370 Aql,19 23 21.10,+02 29 26.1,0.5,6 -19.5p
BF Cyg,19 23 53.57,+29 40 29.1,0.5,-
V1114 Cyg,19 24 36.43,+28 26 10.5,0.5,14.9p-<17p
V1229 Aql,19 24 44.52,+04 14 47.4,0.5,6.7v-19.4p
Aql,19 25 31.8,+02 47 32.3,0.5,-19p
V1233 Aql,19 27 25.40,+02 23 03.5,0.5,15.5p-20p
Aql,19 27 56.46,+03 41 42.1,0.5,14.6p-15.7p
V868 Cyg,19 29 04.5,+28 54 26.,0.5,14.3p-<17.8p
NQ Vul,19 29 14.72,+20 27 59.3,0.5,6.0v-18.3B
V1505 Cyg,19 29 49.0,+28 32 54.,0.5,15.2p-<17.5p
V793 Cyg,19 33 06.2,+33 15 37.,0.5,14.4p-<18.5p
HN Cyg,19 33 39.96,+28 56 14.1,0.5,-
EY Aql,19 34 44.52,+15 01 51.6,0.5,10.5p-20.0r
V905 Cyg,19 35 05.62,+30 34 23.7,0.5,16.5p-<18.1p
V607 Aql,19 35 25.53,+00 42 41.0,0.5,-
BZ Aql,19 35 29.03,-01 44 18.4,0.5,-
V991 Aql,19 35 34.84,+06 33 45.8,0.5,14.p-16.p
Cyg3,19 38 10.22,+35 51 26.9,0.5,-
V1289 Aql,19 38 42.18,+12 16 30.2,0.5,13p-<15.5p
SS Sge,19 39 08.38,+16 42 39.8,0.5,-
HS Sge,19 39 22.02,+18 07 53.9,0.5,7.0p-20.7B
Cyg,19 39 52.,+38 17 17.,0.5,-
FY Vul,19 41 39.95,+21 45 59.0,0.5,13.4B-15.3B
V890 Aql,19 42 53.0,+01 25 27.,0.5,-
V1285 Cyg,19 44 49.56,+35 59 34.8,0.5,-
LU Vul,19 45 35.27,+28 35 29.1,0.5,9.5p-<21p
Aql,19 46 16.35,-04 44 57.1,0.5,19.0B-
CK Vul,19 47 38.0,+27 18 48.,0.5,2.6v-20.7v
LV Vul,19 48 00.52,+27 10 19.3,0.5,5.2v-16.6B
V1153 Cyg,19 48 14.49,+34 52 01.3,0.5,16.4p-<19p
V1449 Cyg,19 49 16.58,+34 10 48.6,0.5,15.5p-<17.0p
V813 Cyg,19 49 35.88,+36 44 40.0,0.5,16.0p-<19p
CI Cyg,19 50 11.86,+35 41 03.2,0.5,-
V1050 Aql,19 51 43.36,+10 51 14.9,0.5,-
Cyg,19 51 47.49,+37 16 47.8,0.5,15.5B-
V1452 Cyg,19 52 02.,+35 55 34.,0.5,15.4p-<17.0p
V465 Cyg,19 52 37.75,+36 33 53.0,0.5,8.0p-20.2V
CK Cyg,19 53 28.,+56 58 43.,0.5,12.0p-<17.p
V1819 Cyg,19 54 37.57,+35 42 16.0,0.5,8.7v-19.6R
V1162 Cyg,19 54 45.72,+36 47 11.6,0.5,15.8p-<17.6p
Sgr3,19 55 46.84,-20 30 54.9,0.5,-
V1327 Aql,19 56 18.93,+01 46 43.9,0.5,16p-18.5V
V476 Cyg,19 58 24.55,+53 37 06.6,0.5,2.0p-17.2B
Vul,19 59 51.29,+22 42 32.3,0.5,15.6c-22.5R
SW Vul,20 00 05.17,+22 56 06.9,0.5,14.5p-18.5p
V1032 Cyg,20 02 40.12,+57 16 25.6,0.5,15.5p-<18.0p
V362 Vul,20 02 48.87,+22 28 25.7,0.5,-
Cyg4,20 05 07.69,+38 07 09.2,0.5,-
Sgr,20 05 51.12,-29 34 59.9,0.5,15.9V-
GL Sge,20 07 09.,+18 51 39.,0.5,16p-20p
ET Sge,20 09 06.34,+17 43 41.0,0.5,16p-<20p
V2361 Cyg,20 09 19.09,+39 48 52.2,0.5,8.9p-
V1310 Cyg,20 09 32.42,+41 00 28.8,0.5,15.9p-<19p
Cyg,20 15 14.79,+36 59 23.5,0.5,18.3R-
Cyg,20 15 36.04,+37 04 57.8,0.5,18.6R-
Cyg,20 15 37.00,+37 11 22.6,0.5,17.5R-
V1377 Cyg,20 16 49.,+38 21 08.,0.5,17.1p-18.5p
V767 Cyg,20 16 49.99,+53 12 24.3,0.5,15.0p-<17.5p
Del,20 20 37.,+20 11,0.5,10.5p-11.5p
PU Vul,20 21 13.30,+21 34 18.4,0.5,-
Cap1,20 22 42.26,-21 07 54.7,0.5,12.5v-
V404 Cyg,20 24 03.78,+33 52 03.2,0.5,-
Cep,20 24 45.94,+60 16 23.9,0.5,18.4j-
Cap,20 24 59.47,-22 33 23.1,0.5,16.4V-
Cep,20 25 20.13,+76 22 22.4,0.5,21.8g-
V374 Vul,20 26 08.76,+28 09 39.2,0.5,-
IO Del,20 26 47.,+18 31 00.,0.5,15.5p-<20p
V1390 Cyg,20 28 23.32,+39 03 55.3,0.5,16.0p-<18.1p
IS Del,20 31 09.57,+16 23 09.1,0.5,15p-<17.5p
Cyg1,20 34 14.51,+50 48 05.9,0.5,14.8V-
V1052 Cyg,20 36 06.39,+54 31 42.5,0.5,15.8p-<17.5p
V747 Cyg,20 37 17.68,+50 19 39.1,0.5,11.7p-12.5p
V1697 Cyg,20 43 17.,+42 42 39.,0.5,16.5U-<17.5U
Aqr,20 44 48.92,-04 59 28.8,0.5,16.9s-
Cep,20 46 38.66,+60 38 03.6,0.5,15.3p-18.1r
Aqr,20 47 20.76,+00 00 07.7,0.5,19.4s-
Aqr,20 48 17.85,-06 10 44.8,0.5,19.4s-
Aqr,20 48 27.91,+00 50 08.9,0.5,19.7s-
Aqr,20 50 17.84,-05 36 26.8,0.5,17.8V-19.6V
V1330 Cyg,20 52 44.83,+35 59 27.4,0.5,9p-18.5B
V1711 Cyg,20 55 00.56,+44 55 31.7,0.5,15.0p-<17.5p
UY Vul,20 55 52.86,+26 40 51.3,0.5,-
UZ Vul,20 56 45.98,+23 34 36.0,0.5,-
V450 Cyg,20 58 47.39,+35 56 27.9,0.5,7.8p-16.3p
Aqr,20 59 14.87,-06 12 20.5,0.5,18.4s-
Aqr,21 00 14.11,+00 44 46.0,0.5,18.8s-
Equ,21 01 31.26,+10 52 51.5,0.5,18.1s-
V407 Cyg,21 02 09.85,+45 46 33.0,0.5,-
Aqr,21 02 41.09,-00 44 08.3,0.5,17.2s-
FX Cep,21 03 06.61,+66 10 32.8,0.5,15.0p-17.5p
Aqr,21 04 49.95,+01 05 45.9,0.5,17.1g-20.6g
EV Aqr,21 06 19.,+00 51 48.,0.5,12.1p-<14.2p
V1060 Cyg,21 07 42.18,+37 14 08.8,0.5,13.5p-18p
V1062 Cyg,21 08 12.17,+36 49 28.2,0.5,15.5p-18p
Cyg,21 08 33.95,+39 05 35.1,0.5,15.1c-17.9c
V1065 Cyg,21 10 59.03,+38 57 12.9,0.5,18p-<20p
Equ,21 16 05.43,+11 34 07.5,0.5,15.3s-
V2151 Cyg,21 18 55.43,+54 12 51.1,0.5,-
CV Aqr,21 21 46.,-14 17 39.,0.5,-
Aqr,21 23 13.,-02 14 46.6,0.5,16.8c-<20.j
V1075 Cyg,21 29 18.78,+42 19 11.2,0.5,16.4p-<18p
Peg,21 29 57.34,+12 10 43.7,0.5,20.2U-
Peg,21 29 58.32,+12 10 01.3,0.5,17.6U-<22.5U
Peg,21 29 58.32,+12 10 12.5,0.5,21.8U-
Cyg,21 30 18.49,+47 09 07.6,0.5,-
Cyg,21 33 43.65,+51 07 24.5,0.5,15.8B-
Cap3,21 34 06.10,-18 51 46.3,0.5,18.0p-19.0p
V1081 Cyg,21 34 15.88,+49 11 26.4,0.5,14.5p-<17.5p
Cap2,21 39 58.4,-23 11 44.,0.5,16.4v-19.1V
V1570 Cyg,21 40 16.89,+47 59 48.5,0.5,-
V1760 Cyg,21 42 57.00,+31 27 31.4,0.5,-
Cyg,21 42 58.96,+31 34 42.7,0.5,12.8V-<17.0V
Cyg,21 43 32.94,+46 12 22.2,0.5,15.6c-<19.0c
Peg,21 43 54.60,+12 44 57.8,0.5,16.2s-
V2209 Cyg,21 44 03.78,+44 39 02.2,0.5,15.3B-<17.5B
V1089 Cyg,21 44 17.70,+47 54 49.8,0.5,15.0p-18.5p
Aqr,21 48 50.,-02 06 22.2,0.5,16.8c-<18.9c
Cyg5,21 51 43.23,+43 09 23.8,0.5,-
Cap,21 54 11.13,-09 01 21.7,0.5,19.2s-
Peg,21 54 33.66,+35 50 17.4,0.5,14.0p-<18.1p
V1404 Cyg,21 57 16.39,+52 12 00.7,0.5,15.7p-<17.7p
BG Lac,22 00 25.17,+43 26 43.4,0.5,-
Cyg,22 02 41.84,+46 39 06.9,0.5,15.7p-<17.8p
Cep,22 02 43.06,+59 03 20.3,0.5,17.2B-
IV Cep,22 04 36.88,+53 30 23.7,0.5,7.5B-17.2B
PS Lac,22 05 39.86,+51 39 00.7,0.5,15.0p-17.6p
Peg,22 05 53.98,+11 55 53.7,0.5,20.1s-
Cep,22 13 45.55,+57 01 14.4,0.5,7.5p-
KM Lac,22 13 49.,+55 28 26.,0.5,14.8p-<17.4p
Aqr,22 15 19.8,-00 32 57.2,0.5,17.5c-21.7s
V381 Lac,22 15 58.87,+42 22 46.7,0.5,12.5v-<16.2v
II Aqr,22 16 27.60,-20 27 25.2,0.5,>19.0j-21.5j
PsA,22 18 56.46,-28 16 18.1,0.5,20.8b-
Peg,22 21 44.79,+18 40 08.3,0.5,11.8V-17.5V
AY Lac,22 22 22.1,+50 23 40.,0.5,14.5p-<20.p
MN Lac,22 23 04.63,+52 40 58.9,0.5,15.1p-<18.0p
Lac,22 24 11.,+48 27 55.,0.5,-
PsA,22 24 16.26,-29 24 21.7,0.5,19.2b-
MR Lac,22 24 42.93,+50 31 41.5,0.5,15.0p-<17.3p
IK Aqr,22 25 43.75,-11 13 41.0,0.5,-
NQ Lac,22 28 43.86,+56 14 59.3,0.5,-
BS Cep,22 29 05.51,+65 14 41.6,0.5,-
Peg,22 32 52.35,+14 03 53.0,0.5,18.5V-22.4V
Aqr,22 34 39.93,+00 41 27.3,0.5,18.1s-
Cep,22 37 15.49,+82 10 27.5,0.5,15.7R-
Peg,22 37 35.43,+08 28 48.9,0.5,15.2V-
Aqr1,22 38 43.83,+01 08 20.7,0.5,18.5j-
KQ Peg,22 42 26.84,+19 32 20.4,0.5,-
PsA,22 43 19.69,-29 33 27.2,0.5,20.2b-
Aqr3,22 43 31.93,-00 12 32.9,0.5,-
Lac,22 50 32.96,+44 57 08.0,0.5,16.0V-
EG Lac,22 50 38.9,+55 14 52.0,0.5,15.5p-19p
Cep1,22 50 39.93,+63 28 38.3,0.5,16.5v-
PsA,22 51 15.23,-28 40 46.2,0.5,20.3b-
PsA,22 56 47.85,-27 43 25.1,0.5,17.5b-
V709 Cep,22 58 09.12,+66 21 12.4,0.5,12.7c-20.6c
Aqr,22 58 31.18,-09 49 31.7,0.5,13.2c-15.6s
MS Peg,22 58 47.98,+25 15 45.0,0.5,-
Peg3,23 03 20.62,+16 49 38.9,0.5,13.1B-
Psc,23 03 51.63,+01 06 51.2,0.5,19.1s-
KZ Cas,23 08 13.84,+56 27 17.4,0.5,15.2p-19p
Peg,23 09 49.17,+21 35 17.7,0.5,15.6V-17.9B
And,23 09 59.,+36 56,0.5,7.8p-
CG Cep,23 10 26.09,+66 33 31.9,0.5,14.5p-17.2p
OS And,23 12 05.95,+47 28 19.6,0.5,6.3v-18.4B
LM Cas,23 12 59.93,+56 51 20.6,0.5,15.8p-<19p
Peg,23 13 46.48,+21 17 30.6,0.5,-
Aqr5,23 16 03.65,-05 27 08.7,0.5,17.5B-
EZ Peg,23 16 53.48,+25 43 10.7,0.5,-
Psc2,23 17 48.13,+07 22 45.8,0.5,-
Scl1,23 18 34.23,-29 58 08.9,0.5,-
Peg5,23 20 44.30,+10 23 51.3,0.5,-
BV And,23 27 02.08,+50 07 12.8,0.5,15.2p-17.9V
Peg,23 33 25.92,+15 22 22.2,0.5,18.8s-
And,23 34 01.45,+39 21 41.0,0.5,16.5V-
EH Aqr,23 34 06.01,-22 48 42.9,0.5,17.5p-<21.0p
And,23 35 12.11,+49 54 16.9,0.5,19.6g-
And,23 37 59.22,+43 08 50.8,0.5,17V-20V
Peg,23 38 48.67,+28 19 55.1,0.5,13.8p-16.0p
And,23 44 57.51,+43 31 22.3,0.5,12.6v-14.8v
Aqr,23 49 42.3,-09 08 03.4,0.5,13.7V-<20r
And2,23 50 16.82,+46 59 21.8,0.5,17.2p-<22V
BC Cas,23 51 17.53,+60 18 11.4,0.5,10.7p-17.4p
V379 Peg,23 53 52.45,+23 09 20.6,0.5,18.4c-18.6c
V370 Peg,23 54 39.19,+28 22 49.7,0.5,16.3p-<19.2p
Peg4,23 59 58.27,+12 44 47.0,0.5,-
